UserId,Age,Gender,Height (cm),Weight (kg),Workout Type,Workout Duration (mins),Calories Burned,Heart Rate (bpm),Steps Taken,Workout Intensity,Sleep hours,Water Intake (liters),Daily Calories Intake,Resting Heart Rate (bpm),VO2 Max,Body Fat (%),Mood Before Workout,Mood After Workout
158,23,Female,160,61,Pilates,86,318,179,7765,High,5.5,3.5,1576,59,47.3,35.0,Happy,Stressed
159,31,Male,161,96,Yoga,45,832,71,9317,Medium,6.1,1.8,1802,82,36.2,32.9,Tired,Tired
160,34,Male,165,56,HIIT,25,867,138,16837,Medium,5.0,3.9,2298,71,54.5,31.3,Stressed,Tired
161,24,Female,168,74,HIIT,30,479,131,7149,High,6.3,1.1,1693,64,42.6,26.2,Energetic,Stressed
162,53,Male,200,68,CrossFit,52,332,87,7056,Low,7.9,3.7,2738,72,34.7,21.9,Tired,Energetic
163,38,Female,192,93,Cardio,38,838,116,19871,High,4.1,1.7,2862,78,45.0,13.8,Energetic,Tired
164,54,Female,171,93,Strength,43,937,77,1013,Medium,7.3,1.2,2644,88,48.8,15.1,Happy,Neutral
165,24,Male,189,53,CrossFit,64,255,104,4540,Medium,8.6,1.2,2911,60,48.2,20.1,Neutral,Tired
166,44,Male,200,77,CrossFit,23,365,108,3585,Medium,6.9,1.0,3051,50,30.3,18.7,Energetic,Energetic
167,49,Female,172,89,Cardio,21,817,132,9156,High,7.7,3.0,3196,86,48.3,14.3,Neutral,Neutral
168,29,Male,178,96,Strength,95,396,102,4435,Low,6.7,3.9,1992,74,36.3,33.9,Stressed,Tired
169,29,Female,166,73,Cardio,96,651,150,19520,High,7.8,2.2,2007,88,46.9,14.0,Happy,Stressed
170,24,Female,169,90,Yoga,118,822,175,3164,Low,9.0,2.6,2445,81,52.9,31.2,Tired,Stressed
171,36,Female,182,73,CrossFit,63,535,167,19499,High,8.7,2.6,3176,67,45.7,18.7,Tired,Tired
172,33,Female,160,56,Pilates,110,594,61,8100,Medium,6.9,2.0,2045,60,43.1,27.1,Energetic,Happy
173,39,Male,184,51,CrossFit,96,471,125,3402,Low,4.1,3.6,2291,74,34.0,29.3,Neutral,Energetic
174,30,Female,195,88,Yoga,104,923,122,6077,High,6.8,3.2,1552,50,59.6,13.0,Neutral,Tired
175,60,Male,185,66,Strength,120,418,81,12030,Low,4.1,1.9,2060,62,46.1,10.3,Energetic,Neutral
176,19,Female,179,68,Yoga,56,959,174,17996,High,7.5,1.9,3028,59,34.4,13.8,Neutral,Happy
177,49,Female,180,67,CrossFit,110,713,120,17365,High,6.3,2.4,2922,88,42.2,28.5,Neutral,Happy
178,50,Female,200,72,Pilates,94,845,177,8203,High,8.4,1.2,2086,69,54.5,17.2,Energetic,Neutral
179,57,Male,169,91,HIIT,87,680,96,19162,High,7.7,2.3,2743,90,56.7,12.3,Tired,Happy
180,27,Male,199,53,CrossFit,117,265,151,3225,Medium,8.5,1.5,2775,80,31.7,34.5,Stressed,Stressed
181,30,Male,166,87,CrossFit,64,604,176,4487,High,7.5,1.9,2398,77,36.8,13.8,Energetic,Tired
182,23,Male,151,98,Yoga,43,256,113,17169,Low,6.2,2.5,2959,62,36.9,33.0,Tired,Stressed
183,46,Female,158,65,Yoga,24,195,120,17937,High,4.3,3.6,1625,85,34.7,17.4,Tired,Energetic
184,48,Male,194,71,Cardio,57,863,121,14649,High,7.3,2.6,1593,59,38.4,16.2,Stressed,Stressed
185,33,Male,182,51,HIIT,107,914,131,19361,Medium,7.4,2.7,3209,53,33.5,31.4,Energetic,Energetic
186,26,Male,178,94,Strength,48,151,126,7049,Medium,5.0,2.4,2891,85,37.0,14.6,Energetic,Stressed
187,20,Female,160,83,Yoga,66,768,153,4749,High,4.3,3.0,2292,82,53.0,25.0,Stressed,Stressed
188,49,Female,153,74,HIIT,26,768,108,1885,Medium,8.2,3.4,3047,85,36.6,11.3,Energetic,Neutral
189,50,Female,164,64,CrossFit,70,952,180,11190,Medium,4.1,2.3,3064,90,40.5,19.6,Neutral,Happy
190,37,Male,161,100,Strength,115,993,155,9504,Low,7.7,1.5,2756,55,52.6,30.8,Tired,Happy
191,35,Male,192,97,CrossFit,76,529,74,15194,High,8.8,3.0,2666,56,55.6,12.3,Tired,Energetic
192,53,Male,182,83,Strength,117,826,149,8877,High,6.0,2.8,2329,76,39.3,25.4,Tired,Happy
193,33,Female,181,56,Yoga,26,650,123,1014,Medium,7.1,3.4,1937,53,45.9,17.0,Happy,Happy
194,23,Female,163,76,CrossFit,100,592,135,7848,Low,4.7,2.9,2317,55,48.8,17.8,Energetic,Tired
195,39,Female,197,74,Strength,65,979,96,9204,Medium,4.7,2.3,2388,86,58.4,24.1,Energetic,Stressed
196,19,Male,156,65,Pilates,94,513,136,6220,Medium,7.4,2.9,3431,70,56.5,32.0,Tired,Tired
197,26,Male,195,81,Yoga,73,323,101,15731,High,6.5,1.2,3158,68,42.5,13.9,Neutral,Tired
198,51,Female,170,87,CrossFit,91,155,156,14722,Low,8.2,3.5,2521,89,45.8,29.8,Neutral,Happy
199,58,Male,182,83,CrossFit,101,993,131,13567,Low,8.3,2.1,1922,55,50.7,27.2,Energetic,Happy
200,30,Female,189,84,Yoga,117,158,169,19537,Medium,4.0,1.8,3421,82,31.6,13.0,Happy,Tired
201,35,Male,190,97,HIIT,26,207,126,18627,High,4.0,2.7,2975,77,33.1,26.9,Stressed,Happy
202,43,Male,163,50,Cardio,31,884,99,7869,High,8.6,2.1,2545,66,49.7,22.4,Neutral,Stressed
203,47,Male,197,92,Pilates,94,526,160,9740,Medium,7.9,1.7,2596,67,54.6,17.0,Tired,Energetic
204,47,Male,164,74,CrossFit,58,153,154,17364,High,5.3,2.2,2994,67,35.5,28.3,Neutral,Stressed
205,44,Male,152,64,Pilates,20,158,74,16773,Low,6.5,3.8,3321,89,43.7,25.2,Neutral,Neutral
206,18,Male,159,77,Pilates,94,734,129,9848,Low,6.5,1.8,2799,65,47.8,17.2,Energetic,Happy
207,52,Male,183,66,CrossFit,49,752,165,9890,High,4.2,2.3,1892,63,48.7,13.6,Happy,Energetic
208,39,Male,191,96,Pilates,80,845,160,15501,High,8.6,1.9,2822,81,38.5,34.5,Energetic,Happy
209,18,Female,174,99,Cardio,55,442,71,5844,High,4.8,2.7,2926,70,45.3,17.6,Tired,Happy
210,56,Female,171,100,Cardio,114,788,138,4166,Low,5.4,1.5,2159,58,44.9,19.7,Happy,Neutral
211,19,Female,173,54,Cardio,119,544,147,5866,Medium,7.0,3.7,2171,76,47.7,11.1,Neutral,Energetic
212,18,Male,197,52,HIIT,65,909,108,10292,Low,7.3,1.0,1502,90,36.9,33.7,Energetic,Stressed
213,29,Female,197,65,CrossFit,85,152,96,2585,Medium,7.9,2.8,1929,76,46.0,16.7,Stressed,Happy
214,53,Male,167,51,Pilates,65,969,88,3545,Low,4.4,2.9,2477,65,40.4,15.7,Neutral,Happy
215,23,Female,197,83,Cardio,71,722,159,13751,High,6.1,3.0,2743,68,31.6,30.6,Neutral,Neutral
216,49,Female,186,95,HIIT,87,818,65,15036,Low,7.6,3.3,1873,61,51.7,32.5,Neutral,Happy
217,58,Female,167,60,Strength,98,302,135,8462,Medium,7.0,3.5,1796,54,50.9,29.2,Happy,Energetic
218,36,Female,172,76,Strength,21,187,151,8049,Medium,5.9,3.1,3228,89,34.7,32.6,Neutral,Stressed
219,60,Female,183,69,HIIT,88,371,136,4501,Low,8.7,3.4,2029,82,33.2,30.5,Neutral,Happy
220,49,Female,191,76,Pilates,97,978,128,14371,Low,7.1,2.4,1613,90,44.8,33.1,Tired,Happy
221,59,Female,189,62,Strength,90,498,73,14803,High,7.3,3.4,2024,81,40.6,34.3,Stressed,Happy
222,25,Female,188,66,Cardio,67,486,113,19022,High,8.6,4.0,3260,59,47.4,23.7,Tired,Stressed
223,28,Female,181,88,HIIT,24,721,109,14077,Low,5.9,3.8,3498,76,52.0,21.7,Happy,Happy
224,48,Female,156,78,Cardio,90,403,144,3856,High,8.4,4.0,2744,87,57.6,32.8,Stressed,Stressed
225,26,Male,179,52,CrossFit,97,209,139,2936,Low,5.3,4.0,3270,58,56.3,17.7,Happy,Tired
226,23,Female,168,62,HIIT,94,482,106,7831,High,5.5,1.6,2428,50,45.1,31.4,Tired,Energetic
227,52,Female,171,78,CrossFit,55,657,92,14335,High,4.2,2.5,1938,72,58.6,28.2,Stressed,Happy
228,27,Female,150,99,Cardio,44,232,172,17559,Low,8.4,2.1,3279,83,38.4,20.4,Happy,Tired
229,45,Female,177,64,Yoga,93,180,173,14590,Low,6.1,1.8,3331,64,49.1,11.9,Stressed,Neutral
230,32,Male,180,66,CrossFit,67,733,170,3468,High,6.7,1.7,2037,77,55.6,16.4,Energetic,Neutral
231,42,Female,185,50,Yoga,41,266,131,2209,Low,6.6,2.7,1540,89,42.0,19.9,Tired,Energetic
232,46,Male,150,52,Yoga,103,382,169,3096,Medium,4.2,1.3,3332,72,34.4,27.5,Tired,Tired
233,27,Female,171,77,Yoga,21,925,161,7230,Medium,6.6,3.5,2622,76,35.6,24.0,Tired,Stressed
234,22,Male,176,85,Cardio,30,824,156,14638,High,5.9,2.4,1764,80,36.4,13.0,Tired,Energetic
235,58,Female,188,95,HIIT,58,500,102,17278,High,8.4,1.2,2388,81,31.2,14.4,Happy,Energetic
